ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Updated.gene.symbol	Updated.gene.title	Retained.original
228854_at	2.63e-19	5.95e-21	12.2	37.107298	3.94					TRUE
229819_at	0.0201	0.00889	-2.67	-3.974398	-0.21	A1BG	alpha-1-B glycoprotein	A1BG	alpha-1-B glycoprotein	FALSE
232462_s_at	0.439	0.325	0.989	-6.951294	0.0503	A1BG-AS1	A1BG antisense RNA 1	A1BG-AS1	A1BG antisense RNA 1	FALSE
241547_at	0.459	0.344	0.952	-6.987157	0.0277	A1CF	APOBEC1 complementation factor	A1CF	APOBEC1 complementation factor	FALSE
217757_at	3.26e-19	7.46e-21	12.2	36.881859	1.82	A2M	alpha-2-macroglobulin	A2M	alpha-2-macroglobulin	FALSE
1564139_at	1.92e-12	1.48e-13	8.68	20.172849	0.803	A2M-AS1	A2M antisense RNA 1 (head to head)	A2M-AS1	A2M antisense RNA 1	FALSE
1564307_a_at	5.16e-06	1.12e-06	-5.22	4.559187	-1.52	A2ML1	alpha-2-macroglobulin like 1	A2ML1	alpha-2-macroglobulin like 1	FALSE
236394_at	0.0103	0.00424	2.93	-3.300598	0.127	A2MP1	alpha-2-macroglobulin pseudogene 1	A2MP1	alpha-2-macroglobulin pseudogene 1	FALSE
219488_at	1.33e-05	3.1e-06	-4.97	3.573019	-0.383	A4GALT	alpha 1,4-galactosyltransferase	A4GALT	alpha 1,4-galactosyltransferase (P1PK blood group)	FALSE
221131_at	0.00357	0.00132	3.31	-2.218588	0.11	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	FALSE
241552_at	0.281	0.187	-1.33	-6.559816	-0.0639	AA06	uncharacterized LOC100506677	AA06	uncharacterized LOC100506677	FALSE
218075_at	4.4e-08	6.82e-09	-6.39	9.555428	-0.375	AAAS	aladin WD repeat nucleoporin	AAAS	aladin WD repeat nucleoporin	FALSE
218434_s_at	4.35e-16	1.75e-17	-10.6	29.156874	-1.1	AACS	acetoacetyl-CoA synthetase	AACS	acetoacetyl-CoA synthetase	FALSE
1570020_at	0.498	0.382	0.879	-7.054249	0.036	AACSP1	acetoacetyl-CoA synthetase pseudogene 1	AACSP1	acetoacetyl-CoA synthetase pseudogene 1	FALSE
205969_at	0.0149	0.00636	2.79	-3.671207	0.774	AADAC	arylacetamide deacetylase	AADAC	arylacetamide deacetylase	FALSE
240420_at	0.0231	0.0104	-2.62	-4.118231	-0.463	AADACL2	arylacetamide deacetylase like 2	AADACL2	arylacetamide deacetylase like 2	FALSE
1569582_at	0.00392	0.00146	-3.28	-2.312985	-0.469	AADACP1	arylacetamide deacetylase pseudogene 1	AADACP1	arylacetamide deacetylase pseudogene 1	FALSE
223593_at	0.221	0.139	1.49	-6.334704	0.147	AADAT	aminoadipate aminotransferase	AADAT	aminoadipate aminotransferase	FALSE
227534_at	2.24e-12	1.75e-13	8.64	20.007423	0.926	AAED1	AhpC/TSA antioxidant enzyme domain containing 1	PRXL2C	peroxiredoxin like 2C	FALSE
202852_s_at	1e-11	8.63e-13	-8.31	18.422758	-0.725	AAGAB	alpha- and gamma-adaptin binding protein	AAGAB	alpha and gamma adaptin binding protein	FALSE
225522_at	2.3e-05	5.6e-06	-4.82	2.998123	-0.399	AAK1	AP2 associated kinase 1	AAK1	AP2 associated kinase 1	FALSE
221599_at	6.29e-12	5.26e-13	8.41	18.914205	0.828	AAMDC	adipogenesis associated Mth938 domain containing	AAMDC	adipogenesis associated Mth938 domain containing	FALSE
201511_at	8.79e-08	1.43e-08	-6.23	8.829495	-0.372	AAMP	angio associated migratory cell protein	AAMP	angio associated migratory cell protein	FALSE
207225_at	0.861	0.801	0.253	-7.40933	0.0116	AANAT	aralkylamine N-acetyltransferase	AANAT	aralkylamine N-acetyltransferase	FALSE
218089_at	0.107	0.0594	1.91	-5.641096	0.116	AAR2	AAR2 splicing factor homolog	AAR2	AAR2 splicing factor	FALSE
201000_at	7.88e-16	3.36e-17	-10.4	28.510201	-0.739	AARS	alanyl-tRNA synthetase	AARS1	alanyl-tRNA synthetase 1	FALSE
231845_at	0.00198	0.000691	-3.51	-1.611256	-0.333	AARS2	alanyl-tRNA synthetase 2, mitochondrial	AARS2	alanyl-tRNA synthetase 2, mitochondrial	FALSE
228041_at	0.318	0.218	-1.24	-6.671329	-0.114	AASDH	aminoadipate-semialdehyde dehydrogenase	AASDH	aminoadipate-semialdehyde dehydrogenase	FALSE
202170_s_at	1.74e-06	3.49e-07	-5.5	5.698555	-0.537	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	FALSE
214829_at	0.00162	0.000557	3.58	-1.407877	0.425	AASS	aminoadipate-semialdehyde synthase	AASS	aminoadipate-semialdehyde synthase	FALSE
1563088_a_at	0.987	0.981	-0.0233	-7.441254	-0.00289	AATBC	apoptosis associated transcript in bladder cancer	AATBC	apoptosis associated transcript in bladder cancer	FALSE
209165_at	6.16e-11	6.03e-12	-7.9	16.496615	-0.586	AATF	apoptosis antagonizing transcription factor	AATF	apoptosis antagonizing transcription factor	FALSE
205986_at	2.46e-10	2.65e-11	7.59	15.031944	0.485	AATK	apoptosis associated tyrosine kinase	AATK	apoptosis associated tyrosine kinase	FALSE
209459_s_at	0.124	0.0708	1.83	-5.78792	0.407	ABAT	4-aminobutyrate aminotransferase	ABAT	4-aminobutyrate aminotransferase	FALSE
